"X","drug_row","drug_row_clean","drug_col","drug_col_clean","cell_line_name","combi_row","combi_col","synergy","fold"
"entinostat_gefitinib_tc32","Entinostat","entinostat","Gefitinib","gefitinib","TC-32","entinostat_tc32","gefitinib_tc32",4.11485777986171,0
"gefitinib_trametinib_tc32","Trametinib","trametinib","Gefitinib","gefitinib","TC-32","trametinib_tc32","gefitinib_tc32",16.5502952537888,2
"dasatinib_gefitinib_tc32","Dasatinib","dasatinib","Gefitinib","gefitinib","TC-32","dasatinib_tc32","gefitinib_tc32",0.252490036101345,0
"gefitinib_palbociclib_tc32","Palbociclib","palbociclib","Gefitinib","gefitinib","TC-32","palbociclib_tc32","gefitinib_tc32",2.48581481951862,4
"gefitinib_raloxifene_tc32","RALOXIFENE HYDROCHLORIDE","raloxifene","Gefitinib","gefitinib","TC-32","raloxifene_tc32","gefitinib_tc32",3.44120722429742,3
"dasatinib_entinostat_tc32","Dasatinib","dasatinib","Entinostat","entinostat","TC-32","dasatinib_tc32","entinostat_tc32",-1.3822973737789,4
"entinostat_palbociclib_tc32","Palbociclib","palbociclib","Entinostat","entinostat","TC-32","palbociclib_tc32","entinostat_tc32",-0.105131618435688,1
"entinostat_raloxifene_tc32","RALOXIFENE HYDROCHLORIDE","raloxifene","Entinostat","entinostat","TC-32","raloxifene_tc32","entinostat_tc32",12.3901061062122,2
"dasatinib_trametinib_tc32","Dasatinib","dasatinib","Trametinib","trametinib","TC-32","dasatinib_tc32","trametinib_tc32",2.12071022639331,3
"palbociclib_trametinib_tc32","Palbociclib","palbociclib","Trametinib","trametinib","TC-32","palbociclib_tc32","trametinib_tc32",7.57225338727364,0
"raloxifene_trametinib_tc32","RALOXIFENE HYDROCHLORIDE","raloxifene","Trametinib","trametinib","TC-32","raloxifene_tc32","trametinib_tc32",8.19859738878794,2
"dasatinib_palbociclib_tc32","Palbociclib","palbociclib","Dasatinib","dasatinib","TC-32","palbociclib_tc32","dasatinib_tc32",5.35634681794337,4
"dasatinib_raloxifene_tc32","RALOXIFENE HYDROCHLORIDE","raloxifene","Dasatinib","dasatinib","TC-32","raloxifene_tc32","dasatinib_tc32",-6.66269917267737,2
"palbociclib_raloxifene_tc32","RALOXIFENE HYDROCHLORIDE","raloxifene","Palbociclib","palbociclib","TC-32","raloxifene_tc32","palbociclib_tc32",30.5261559007714,0
"erlotinib_nilotinib_hs578t","Nilotinib","nilotinib","Erlotinib hydrochloride","erlotinib","HS 578T","nilotinib_hs578t","erlotinib_hs578t",-0.20030138461277,1
"nilotinib_sorafenib_hs578t","Nilotinib","nilotinib","Sorafenib","sorafenib","HS 578T","nilotinib_hs578t","sorafenib_hs578t",-0.962607460375718,3
"dasatinib_sorafenib_hs578t","Dasatinib","dasatinib","Sorafenib","sorafenib","HS 578T","dasatinib_hs578t","sorafenib_hs578t",-3.60722684601188,0
"lapatinib_sorafenib_hs578t","Lapatinib","lapatinib","Sorafenib","sorafenib","HS 578T","lapatinib_hs578t","sorafenib_hs578t",0.380769889347887,4
"imatinib_sorafenib_hs578t","Imatinib","imatinib","Sorafenib","sorafenib","HS 578T","imatinib_hs578t","sorafenib_hs578t",-0.561938136199801,2
"imatinib_nilotinib_hs578t","Imatinib","imatinib","Nilotinib","nilotinib","HS 578T","imatinib_hs578t","nilotinib_hs578t",1.09256340272305,0
"imatinib_lapatinib_hs578t","Imatinib","imatinib","Lapatinib","lapatinib","HS 578T","imatinib_hs578t","lapatinib_hs578t",0.158744943511991,0
"dasatinib_mitoxantrone_hs578t","mitoxantrone","mitoxantrone","Dasatinib","dasatinib","HS 578T","mitoxantrone_hs578t","dasatinib_hs578t",2.81560552022047,2
"erlotinib_sorafenib_hs578t","Sorafenib","sorafenib","Erlotinib hydrochloride","erlotinib","HS 578T","sorafenib_hs578t","erlotinib_hs578t",-0.912749229673748,0
"dasatinib_gefitinib_hs578t","Gefitinib","gefitinib","Dasatinib","dasatinib","HS 578T","gefitinib_hs578t","dasatinib_hs578t",2.58057979454231,0
"dasatinib_erlotinib_hs578t","Dasatinib","dasatinib","Erlotinib hydrochloride","erlotinib","HS 578T","dasatinib_hs578t","erlotinib_hs578t",0.0159524039810878,4
"erlotinib_imatinib_hs578t","Imatinib","imatinib","Erlotinib hydrochloride","erlotinib","HS 578T","imatinib_hs578t","erlotinib_hs578t",1.59403084556035,4
"dasatinib_imatinib_hs578t","Imatinib","imatinib","Dasatinib","dasatinib","HS 578T","imatinib_hs578t","dasatinib_hs578t",8.31674062831553,1
"lapatinib_nilotinib_hs578t","Nilotinib","nilotinib","Lapatinib","lapatinib","HS 578T","nilotinib_hs578t","lapatinib_hs578t",3.1257715737161,4
"dasatinib_lapatinib_hs578t","Dasatinib","dasatinib","Lapatinib","lapatinib","HS 578T","dasatinib_hs578t","lapatinib_hs578t",-1.06353476986448,0
"dasatinib_nilotinib_hs578t","Nilotinib","nilotinib","Dasatinib","dasatinib","HS 578T","nilotinib_hs578t","dasatinib_hs578t",2.61011730806722,1
"erlotinib_lapatinib_hs578t","Lapatinib","lapatinib","Erlotinib hydrochloride","erlotinib","HS 578T","lapatinib_hs578t","erlotinib_hs578t",2.28063104333798,0
"lapatinib_mitoxantrone_hs578t","mitoxantrone","mitoxantrone","Lapatinib","lapatinib","HS 578T","mitoxantrone_hs578t","lapatinib_hs578t",3.49481298397127,2
"gefitinib_mitoxantrone_hs578t","Gefitinib","gefitinib","mitoxantrone","mitoxantrone","HS 578T","gefitinib_hs578t","mitoxantrone_hs578t",8.90674166138776,4
"pazopanib_sorafenib_hs578t","Pazopanib hydrochloride","pazopanib","Sorafenib","sorafenib","HS 578T","pazopanib_hs578t","sorafenib_hs578t",-0.393205488321826,0
"sorafenib_vemurafenib_hs578t","Vemurafenib","vemurafenib","Sorafenib","sorafenib","HS 578T","vemurafenib_hs578t","sorafenib_hs578t",-7.13531622536351,4
"crizotinib_sorafenib_hs578t","Crizotinib","crizotinib","Sorafenib","sorafenib","HS 578T","crizotinib_hs578t","sorafenib_hs578t",-4.71731639524428,1
"ruxolitinib_sorafenib_hs578t","Ruxolitinib","ruxolitinib","Sorafenib","sorafenib","HS 578T","ruxolitinib_hs578t","sorafenib_hs578t",-4.32413676558044,3
"mitoxantrone_ruxolitinib_hs578t","Ruxolitinib","ruxolitinib","mitoxantrone","mitoxantrone","HS 578T","ruxolitinib_hs578t","mitoxantrone_hs578t",10.3138824164614,0
"mitoxantrone_pazopanib_hs578t","Pazopanib hydrochloride","pazopanib","mitoxantrone","mitoxantrone","HS 578T","pazopanib_hs578t","mitoxantrone_hs578t",8.78797404526676,4
"gefitinib_sorafenib_hs578t","Gefitinib","gefitinib","Sorafenib","sorafenib","HS 578T","gefitinib_hs578t","sorafenib_hs578t",-4.79313397135666,3
"mitoxantrone_sorafenib_hs578t","mitoxantrone","mitoxantrone","Sorafenib","sorafenib","HS 578T","mitoxantrone_hs578t","sorafenib_hs578t",-6.77339214045755,1
"crizotinib_lapatinib_hs578t","Crizotinib","crizotinib","Lapatinib","lapatinib","HS 578T","crizotinib_hs578t","lapatinib_hs578t",3.77732648137106,2
"lapatinib_ruxolitinib_hs578t","Ruxolitinib","ruxolitinib","Lapatinib","lapatinib","HS 578T","ruxolitinib_hs578t","lapatinib_hs578t",3.70197449984508,0
"lapatinib_pazopanib_hs578t","Pazopanib hydrochloride","pazopanib","Lapatinib","lapatinib","HS 578T","pazopanib_hs578t","lapatinib_hs578t",4.25126244482793,3
"lapatinib_vemurafenib_hs578t","Vemurafenib","vemurafenib","Lapatinib","lapatinib","HS 578T","vemurafenib_hs578t","lapatinib_hs578t",5.32773692141222,1
"gefitinib_lapatinib_hs578t","Gefitinib","gefitinib","Lapatinib","lapatinib","HS 578T","gefitinib_hs578t","lapatinib_hs578t",-1.10718805753373,3
"imatinib_mitoxantrone_hs578t","mitoxantrone","mitoxantrone","Imatinib","imatinib","HS 578T","mitoxantrone_hs578t","imatinib_hs578t",0.107968628266459,1
"gefitinib_ruxolitinib_hs578t","Ruxolitinib","ruxolitinib","Gefitinib","gefitinib","HS 578T","ruxolitinib_hs578t","gefitinib_hs578t",4.91191956037964,4
"gefitinib_imatinib_hs578t","Gefitinib","gefitinib","Imatinib","imatinib","HS 578T","gefitinib_hs578t","imatinib_hs578t",-5.0315202682594,2
"imatinib_pazopanib_hs578t","Pazopanib hydrochloride","pazopanib","Imatinib","imatinib","HS 578T","pazopanib_hs578t","imatinib_hs578t",3.79157647116223,1
