"X","drug_row","drug_col","cell_line_name","synergy","fold"
"AZD6738_Olaparib_A2058","AZD6738","Olaparib","A2058",0.0122744882536639,1
"AZD1775_Olaparib_A2058","AZD1775","Olaparib","A2058",0.009239967596978,4
"AZD1775_AZD6738_A2058","AZD1775","AZD6738","A2058",0.0631074862580957,2
"AZD2811_Olaparib_A2058","AZD2811","Olaparib","A2058",0.0181385668149307,0
"AZD2811_AZD6738_A2058","AZD2811","AZD6738","A2058",0.0165865578951677,4
"AZD1775_AZD2811_A2058","AZD2811","AZD1775","A2058",0.00052492078927957,3
"AZD0156_AZD1775_A2058","AZD0156","AZD1775","A2058",-0.0241801628276855,1
"AZD7648_Olaparib_A2058","AZD7648","Olaparib","A2058",-0.0256989542889594,2
"AZD0156_AZD6738_A2058","AZD0156","AZD6738","A2058",-0.007847961813699,2
"AZD0156_AZD2811_A2058","AZD0156","AZD2811","A2058",-0.0150875942820758,4
"AZD1775_AZD7648_A2058","AZD7648","AZD1775","A2058",0.029469225553562,3
"AZD0156_AZD7648_A2058","AZD7648","AZD0156","A2058",0.0065892780257151,3
"AZD6738_AZD7648_A2058","AZD7648","AZD6738","A2058",0.0306217831028339,0
"AZD2811_AZD7648_A2058","AZD7648","AZD2811","A2058",0.0256376815759757,0
"Olaparib_Prexasertib_A2058","Prexasertib","Olaparib","A2058",0.0242007736521283,3
"AZD6738_Prexasertib_A2058","Prexasertib","AZD6738","A2058",0.0390102711380027,1
"AZD1775_Prexasertib_A2058","Prexasertib","AZD1775","A2058",0.120228199086096,3
"AZD0156_Prexasertib_A2058","Prexasertib","AZD0156","A2058",0.0156763393431714,0
"AZD7648_Prexasertib_A2058","Prexasertib","AZD7648","A2058",0.020480276260632,2
"Olaparib_SN-38_A2058","SN-38","Olaparib","A2058",0.0423748230092942,0
"AZD7648_Doxorubicin_A2058","Doxorubicin","AZD7648","A2058",0.029402580725822,4
"Olaparib_SG3199_A2058","SG3199","Olaparib","A2058",-0.0124823023073777,4
"AZD0156_SN-38_A2058","SN-38","AZD0156","A2058",0.0541185780403025,1
"AZD6738_Olaparib_Raji","AZD6738","Olaparib","Raji",-0.0105927350564523,1
"AZD1775_Olaparib_Raji","AZD1775","Olaparib","Raji",-0.0033465075130813,4
"AZD1775_AZD6738_Raji","AZD1775","AZD6738","Raji",0.127167441509653,2
"AZD2811_Olaparib_Raji","AZD2811","Olaparib","Raji",0.00282046118156,0
"AZD2811_AZD6738_Raji","AZD2811","AZD6738","Raji",-0.0535045698075395,4
"AZD1775_AZD2811_Raji","AZD2811","AZD1775","Raji",0.0309753959929896,3
"AZD0156_AZD1775_Raji","AZD0156","AZD1775","Raji",-0.0229302637282877,1
"AZD7648_Olaparib_Raji","AZD7648","Olaparib","Raji",0.0073496329419199,2
