"drug_row","drug_col","cell_line_name","synergy"
"ABT263","Bortezomib","H1155",9.42863716745747
"ABT263","Entinostat","H1155",16.5121604625367
"ABT263","Indisulam","H1155",8.92347067630594
"ABT263","Troglitazone","H1155",24.2045173283657
"AZD4547","Birinapant","H1155",-3.98337405339199
"AZD4547","Bortezomib","H1155",-1.46456668327639
"AZD4547","Entinostat","H1155",0.79586406722517
"AZD4547","STA9090","H1155",3.37289319034964
"AZD4547","Troglitazone","H1155",-1.97508861386561
"AZD8055","Bortezomib","H1155",2.51482978773566
"AZD8055","Entinostat","H1155",15.1927792278723
"AZD8055","VE821","H1155",-1.51184779715268
"AZD8055","VX680","H1155",5.23983416803378
"Birinapant","Bortezomib","H1155",0.87365854026791
"Birinapant","EX527","H1155",11.3313968632017
"Birinapant","Entinostat","H1155",13.0046908600087
"Birinapant","Indisulam","H1155",-2.06843326123616
"Birinapant","STA9090","H1155",-2.69790741695365
"Birinapant","Troglitazone","H1155",13.3331522597197
"Bortezomib","EX527","H1155",6.30564746349097
"Bortezomib","Entinostat","H1155",12.1834255081021
"Bortezomib","Indisulam","H1155",-8.6511785397732
"Bortezomib","STA9090","H1155",0.531222385829647
"Bortezomib","Troglitazone","H1155",9.94830841030238
"Cisplatin","Bortezomib","H1155",-0.773000842204152
"Cisplatin","Entinostat","H1155",19.8368938937947
"Cisplatin","Pictilisib","H1155",-5.81089769197296
"Cisplatin","STA9090","H1155",2.46315761354772
"Cisplatin","Selumetinib","H1155",0.13205084058501
"Cisplatin","Troglitazone","H1155",0.0599497188065767
"Crizotinib","ABT263","H1155",17.6947558568159
"Crizotinib","Birinapant","H1155",26.4215994790424
"Crizotinib","Bortezomib","H1155",-1.49058663650083
"Crizotinib","Entinostat","H1155",11.5976385952963
"Crizotinib","Indisulam","H1155",-0.333578983896483
"Crizotinib","MK2206","H1155",19.3795280475933
"Crizotinib","RO3306","H1155",-1.41391558192708
"Crizotinib","Troglitazone","H1155",4.55529554613878
"EX527","Troglitazone","H1155",20.1635388817349
"Entinostat","EX527","H1155",-4.99306717737488
"Entinostat","Indisulam","H1155",19.4419737763496
"Entinostat","Troglitazone","H1155",9.72515805565034
"Erlotinib","AZD8055","H1155",-0.0118793785406472
"Erlotinib","Bortezomib","H1155",1.29512181386504
"Erlotinib","Entinostat","H1155",17.0572907016681
"Erlotinib","Troglitazone","H1155",-1.09172777989511
"Etoposide","Birinapant","H1155",12.2954095681894
"Etoposide","Bortezomib","H1155",-2.80076878221649
"Etoposide","Entinostat","H1155",20.1040888478865
"Etoposide","Erlotinib","H1155",14.0780965605817
"Etoposide","Indisulam","H1155",0.948152285594802
"Etoposide","Linsitinib","H1155",3.33271020841096
"Etoposide","Selumetinib","H1155",0.529032511788202
"Etoposide","Troglitazone","H1155",3.34327501804054
"FTI277","Birinapant","H1155",2.27275543841435
